Year,"Month","Value","Value Footnotes"

2020,"January","85015","1"
2020,"March","85015","1"
2020,"April","102881","1"
2020,"June","102881","1"
2020,"July","68684","1"
2020,"Sptember","68684","1"
2020,"October","87736","1"
2020,"december","87736","1"
2019,"January","81401","1"
2020,"March","81402","1"
2019,"April","71241","1"
2020,"June","72140","1"
2019,"July","69011","1"
2020,"Sptember","69011","1"
2019,"October","79158","1"
2020,"december","79157","1"
2018,"January","68805","1"
2018,"February","55236","1"
2018,"March","59558","1"
2018,"April","49008","1"
2018,"May","47123","1"
2018,"June","44279","1"
2018,"July","45636","1"
2018,"August","44327","1"
2018,"September","44736","1"
2018,"October","48270","1"
2018,"November","48888","1"
2018,"December","58447","1"
2017,"January","64394","1"
2017,"February","53939","1"
2017,"March","54954","1"
2017,"April","44888","1"
2017,"May","50191","1"
2017,"June","47625","1"
2017,"July","43980","1"
2017,"August","46545","1"
2017,"September","45575","1"
2017,"October","49589","1"
2017,"November","51814","1"
2017,"December","52254","1"
2016,"January","54207","1"
2016,"February","52201","1"
2016,"March","55000","1"
2016,"April","52591","1"
2016,"May","46955","1"
2016,"June","47433","1"
2016,"July","44449","1"
2016,"August","46328","1"
2016,"September","45723","1"
2016,"October","46178","1"
2016,"November","52567","1"
2016,"December","52023","1"
2015,"January","68153","1"
2015,"February","53271","1"
2015,"March","54478","1"
2015,"April","51041","1"
2015,"May","45082","1"
2015,"June","47798","1"
2015,"July","45952","1"
2015,"August","41472","1"
2015,"September","47096","1"
2015,"October","47898","1"
2015,"November","47337","1"
2015,"December","51694","1"
2014,"January","55419","1"
2014,"February","46678","1"
2014,"March","46879","1"
2014,"April","47061","1"
2014,"May","44729","1"
2014,"June","43552","1"
2014,"July","46695","1"
2014,"August","41181","1"
2014,"September","46339","1"
2014,"October","49000","1"
2014,"November","44837","1"
2014,"December","56470","1"
2013,"January","60152","1"
2013,"February","49655","1"
2013,"March","50771","1"
2013,"April","56309","1"
2013,"May","47953","1"
2013,"June","40698","1"
2013,"July","45198","1"
2013,"August","40549","1"
2013,"September","41781","1"
2013,"October","48028","1"
2013,"November","45309","1"
2013,"December","48542","1"
2012,"January","53558","1"
2012,"February","50322","1"
2012,"March","49932","1"
2012,"April","47558","1"
2012,"May","50269","1"
2012,"June","41966","1"
2012,"July","44852","1"
2012,"August","44536","1"
2012,"September","40266","1"
2012,"October","49335","1"
2012,"November","47891","1"
2012,"December","48539","1"
2011,"January","56990","1"
2011,"February","44806","1"
2011,"March","50309","1"
2011,"April","42071","1"
2011,"May","45940","1"
2011,"June","45486","1"
2011,"July","40618","1"
2011,"August","43981","1"
2011,"September","43670","1"
2011,"October","42743","1"
2011,"November","45981","1"
2011,"December","49637","1"
2008,"January","59174","1"
2008,"February","48272","1"
2008,"March","48166","1"
2008,"April","52256","1"
2008,"May","44688","1"
2008,"June","43249","1"
2008,"July","45636","1"
2008,"August","39970","1"
2008,"September","44741","1"
2008,"October","47989","1"
2008,"November","44841","1"
2008,"December","60715","1"
2006,"January - March","159700","1"
2006,"April - June","141100","1"
2006,"July - September","130100","1"
2006,"October - December","140200","1"
2005,"January","57668","1"
2005,"February","50305","1"
2005,"March","56771","1"
2005,"April","49147","1"
2005,"May","46811","1"
2005,"June","47359","1"
2005,"July","42257","1"
2005,"August","45512","1"
2005,"September","43839","1"
2005,"October","44539","1"
2005,"November","47900","1"
2005,"December","50855","1"
2004,"January","59283","1"
2004,"February","48731","1"
2004,"March","51698","1"
2004,"April","47407","1"
2004,"May","46681","1"
2004,"June","45191","1"
2004,"July","45345","1"
2004,"August","45395","1"
2004,"September","44362","1"
2004,"October","47665","1"
2004,"November","47052","1"
2004,"December","54269","1"
2003,"January","58731","1"
2003,"February","50525","1"
2003,"March","53223","1"
2003,"April","50856","1"
2003,"May","49258","1"
2003,"June","45657","1"
2003,"July","46727","1"
2003,"August","47903","1"
2003,"September","46056","1"
2003,"October","50807","1"
2003,"November","53229","1"
2003,"December","58212","1"
2003,"Unknown","0","1"
2002,"January","62449","1,3"
2002,"February","49740","1,3"
2002,"March","52620","1,3"
2002,"April","49608","1,3"
2002,"May","48579","1,3"
2002,"June","46378","1,3"
2002,"July","47922","1,3"
2002,"August","45922","1,3"
2002,"September","45835","1,3"
2002,"October","50957","1,3"
2002,"November","49374","1,3"
2002,"December","56829","1,3"
2001,"January","59632","1"
2001,"February","50275","1"
2001,"March","55100","1"
2001,"April","49937","1"
2001,"May","49439","1"
2001,"June","46211","1"
2001,"July","47127","1"
2001,"August","45785","1"
2001,"September","45841","1"
2001,"October","48274","1"
2001,"November","49246","1"
2001,"December","55399","1"
2000,"January","76262","1"
2000,"February","50570","1"
2000,"March","50328","1"
2000,"April","48328","1"
2000,"May","47863","1"
2000,"June","46283","1"
2000,"July","46366","1"
2000,"August","45214","1"
2000,"September","44384","1"
2000,"October","49208","1"
2000,"November","50200","1"
2000,"December","53360","1"
